teamName,season,sport,headCoach,date,opponent,result,attendance
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,08/30/2019, UT Arlington,L 2-3 ,"
        50
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,08/30/2019, Houston,W 3-0 ,"
        0
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,08/31/2019, Arizona St.,L 1-3 ,"
        0
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/04/2019, UTRGV,L 2-3 ,"
        475
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/06/2019, New Mexico,W 3-0 ,"
        0
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/06/2019, UTEP,L 2-3 ,"
        625
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/07/2019, Coppin St.,W 3-1 ,"
        76
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/12/2019, Southeastern La.,W 3-2 ,"
        200
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/13/2019, Jackson St.,W 3-1 ,"
        25
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/14/2019, California Baptist,W 3-0 ,"
        25
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/17/2019, UTRGV,W 3-0 ,"
        1,418
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/20/2019, Purdue,L 0-3 ,"
        0
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/20/2019, Eastern Mich.,L 0-3 ,"
        0
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/21/2019, Murray St.,W 3-1 ,"
        50
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/26/2019, SFA,L 0-3 ,"
        731
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,09/28/2019, Abilene Christian,L 1-3 ,"
        291
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,10/03/2019, Northwestern St.,L 1-3 ,"
        484
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,10/05/2019, Central Ark.,W 3-1 ,"
        269
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,10/08/2019, UIW,W 3-0 ,"
        402
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,10/17/2019, Sam Houston St.,W 3-1 ,"
        450
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,10/19/2019, Houston Baptist,W 3-1 ,"
        107
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,10/24/2019, Nicholls St.,W 3-2 ,"
        257
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,10/26/2019, New Orleans,W 3-0 ,"
        273
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,10/31/2019, McNeese,W 3-0 ,"
        341
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,11/02/2019, Lamar University,W 3-1 ,"
        37
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,11/07/2019, SFA,L 2-3 ,"
        575
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,11/09/2019, Abilene Christian,W 3-0 ,"
        267
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,11/14/2019, Northwestern St.,W 3-0 ,"
        325
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,11/16/2019, Central Ark.,L 1-3 ,"
        287
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,11/22/2019,#5 Central Ark.,W 3-0 ,"
        329
      "
A&M-Corpus Christi Islanders,2019-20,Women's Volleyball,Steve Greene,11/23/2019,#1 SFA,L 1-3 ,"
        55
      "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,08/30/2019, Saint Francis (PA),W 3-0 ,"
        0
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,08/30/2019, Bucknell,W 3-1 ,"
        303
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,08/31/2019, The Citadel,W 3-1 ,"
        298
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/06/2019, Niagara,W 3-1 ,"
        50
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/06/2019, Cornell,L 0-3 ,"
        227
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/07/2019, Hartford,L 0-3 ,"
        50
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/10/2019, Kent St.,L 2-3 ,"
        403
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/13/2019, Towson,L 0-3 ,"
        211
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/13/2019, Albany (NY),L 0-3 ,"
        89
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/14/2019, Coastal Carolina,L 1-3 ,"
        31
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/20/2019, Robert Morris,W 3-0 ,"
        182
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/20/2019, Eastern Ill.,W 3-1 ,"
        201
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/21/2019, Central Mich.,L 0-3 ,"
        193
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/27/2019, Northern Ky.,L 0-3 ,"
        318
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,09/28/2019, Wright St.,L 0-3 ,"
        265
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/04/2019, UIC,L 0-3 ,"
        101
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/05/2019, Milwaukee,L 0-3 ,"
        148
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/09/2019, IUPUI,W 3-2 ,"
        312
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/11/2019, Green Bay,L 0-3 ,"
        78
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/18/2019, Cleveland St.,W 3-1 ,"
        282
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/20/2019, Oakland,L 0-3 ,"
        137
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/25/2019, Milwaukee,L 0-3 ,"
        194
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,10/26/2019, UIC,L 0-3 ,"
        121
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/01/2019, Cleveland St.,L 0-3 ,"
        218
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/03/2019, Oakland,L 0-3 ,"
        518
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/06/2019, IUPUI,L 2-3 ,"
        218
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/08/2019, Green Bay,L 0-3 ,"
        413
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/15/2019, Wright St.,L 0-3 ,"
        168
      "
Youngstown St. Penguins,2019-20,Women's Volleyball,Aline Scott,11/16/2019, Northern Ky.,L 2-3 ,"
        201
      "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/06/2019, Oklahoma,L 2-3 ,"
        213
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/06/2019, Oregon St.,L 1-3 ,"
        0
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/08/2019, Indiana,L 1-3 ,"
        1,432
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/13/2019, Villanova,L 1-3 ,"
        110
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/13/2019, Southern California,L 2-3 ,"
        975
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/14/2019, Howard,W 3-0 ,"
        200
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/20/2019, Stony Brook,W 3-0 ,"
        315
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/21/2019, Army West Point,W 3-0 ,"
        226
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/21/2019, Sacred Heart,W 3-0 ,"
        411
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,09/28/2019, Brown,W 3-0 ,"
        462
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/04/2019, Harvard,W 3-0 ,"
        688
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/05/2019, Dartmouth,W 3-1 ,"
        702
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/12/2019, Penn,W 3-0 ,"
        331
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/13/2019, Princeton,L 0-3 ,"
        276
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/18/2019, Columbia,W 3-0 ,"
        521
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/19/2019, Cornell,W 3-1 ,"
        316
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,10/26/2019, Brown,W 3-0 ,"
        212
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/01/2019, Dartmouth,W 3-0 ,"
        158
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/02/2019, Harvard,L 1-3 ,"
        375
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/08/2019, Cornell,W 3-1 ,"
        298
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/09/2019, Columbia,W 3-0 ,"
        194
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/16/2019, Princeton,W 3-2 ,"
        816
      "
Yale Bulldogs,2019-20,Women's Volleyball,Erin Appleman,11/22/2019, Princeton,L 1-3 ,"
        737
      "
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
